update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,2863.971198699434,0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,1.36347097158432,0.08701635990291834,0.048300609923899174,0.0030342652753461152,0.0401384900957012,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,3349.4704138908546,1,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,1.3645797818899155,0.03864899184554815,0.02986125973984599,0.0005461253349494655,0.015809971763993368,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,3385.217243537299,1,0.020833333333333332,0.14282613750835507,0.0,1.0,48.0,0.0,48.0,48.0,1.3751260787248611,0.027888173703104258,0.008558536297641695,0.0035775759315583855,0.01706467058326957,0.020833333333333332,0.14282613750835507,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,3531.7274439513876,2,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,1.3779367357492447,0.014310093480162323,0.0080083166831173,9.706864420877537e-05,0.004174478309330758,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,3514.432847227791,3,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,1.3833418935537338,0.007706347678322345,0.0056335945264436305,4.099046145711327e-05,0.0025070720508486074,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
