update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
232,475136,2839.843067556381,26,0.1666666716337204,0.2041241513153051,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.3720910251140594,0.06045526685193181,-0.00836104032350704,0.0036132967507001013,0.009751765605824103,0.1666666716337204,0.2041241513153051,0.0,0.6666666865348816
233,477184,2774.588513762096,27,0.18750000558793545,0.23477975011332836,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.37489652633667,0.07188997138291597,-0.008019738656003028,0.004609785450156778,0.012095554626305134,0.18750000558793545,0.23477975011332836,0.0,0.6666666865348816
234,479232,2710.8668376724363,28,0.1666666716337204,0.2041241513153051,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.36971777677536,0.07770169526338577,-0.0030322497186716646,0.0033282999065704644,0.009856983761157448,0.1666666716337204,0.2041241513153051,0.0,0.6666666865348816
235,481280,2660.2279550898074,29,0.1875000037252903,0.2879223983470909,0.0,1.0,110.0,0.0,110.0,110.0,1.3621126264333725,0.08088369108736515,-0.0038383992214221507,0.00639551374479197,0.0120257392731417,0.1875000037252903,0.2879223983470909,0.0,1.0
236,483328,3165.8811211800903,29,0.18750000558793545,0.20305822156845982,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.3580122292041779,0.08458397909998894,-0.002130884735379368,0.0033338803332298994,0.008743829092728113,0.18750000558793545,0.20305822156845982,0.0,0.6666666865348816
237,485376,3117.1413933764416,30,0.15625000465661287,0.18604762116435675,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.3655471354722977,0.08855917863547802,-0.0017604274762561545,0.004712474765256047,0.011974634183488032,0.15625000465661287,0.18604762116435675,0.0,0.6666666865348816
238,487424,3128.5363262618403,31,0.1250000037252903,0.19982631942665152,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.3714143633842468,0.08053173124790192,0.00605669233482331,0.002848487740266137,0.00787852257926459,0.1250000037252903,0.19982631942665152,0.0,0.6666666865348816
239,489472,2960.4365460575405,31,0.2083333395421505,0.2319901886984304,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.3745330274105072,0.08444080036133528,-0.007159184431657195,0.004657277400838211,0.01067108953953061,0.2083333395421505,0.2319901886984304,0.0,0.6666666865348816
240,491520,2633.41202727365,32,0.1666666716337204,0.2357022674199906,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.3695183545351028,0.08893428649753332,0.0005672612096532248,0.004124471844988875,0.010224493803867998,0.1666666716337204,0.2357022674199906,0.0,0.6666666865348816
241,493568,2806.835199615209,33,0.10416666977107525,0.15450413975240834,0.0,0.3333333432674408,110.0,0.0,110.0,110.0,1.3742766231298447,0.07712358888238668,0.00924270658288151,0.001679431166849099,0.007653829368712268,0.10416666977107525,0.15450413975240834,0.0,0.3333333432674408
242,495616,2624.0025024437928,34,0.1666666716337204,0.1666666716337204,0.0,0.3333333432674408,110.0,0.0,110.0,110.0,1.3728567957878113,0.07653843611478806,-0.0007777078717481345,0.002413753856671974,0.007731894318558315,0.1666666716337204,0.1666666716337204,0.0,0.3333333432674408
243,497664,2528.214408341817,35,0.17708333861082792,0.203858191396082,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.370932474732399,0.08875167183578014,-0.01279443089151755,0.0062708897166885436,0.012557781629640354,0.17708333861082792,0.203858191396082,0.0,0.6666666865348816
244,499712,2910.596104786324,35,0.1666666716337204,0.26352314620096645,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.3603543490171432,0.08798470627516508,0.001300036400607496,0.004682546714320779,0.015326329231766214,0.1666666716337204,0.26352314620096645,0.0,0.6666666865348816
245,501760,3113.703077333519,36,0.2083333358168602,0.33071891482175875,0.0,1.0,110.0,0.0,110.0,110.0,1.362228974699974,0.09314705058932304,-0.0058351414918433875,0.008427893160842359,0.01596112318028419,0.2083333358168602,0.33071891482175875,0.0,1.0
246,503808,3152.2718886399184,37,0.1458333358168602,0.28792239807753833,0.0,1.0,110.0,0.0,110.0,110.0,1.3614612221717834,0.08886300027370453,0.004829881509067491,0.005804101296234876,0.013354849125841325,0.1458333358168602,0.28792239807753833,0.0,1.0
247,505856,3147.2478379451795,37,0.22916667349636555,0.22726484249459727,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.3618102222681046,0.09633925557136536,-0.007363552751485258,0.004715738003142178,0.01362730737515763,0.22916667349636555,0.22726484249459727,0.0,0.6666666865348816
248,507904,2895.9137274098466,38,0.2083333395421505,0.2319901886984304,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.3617210537195206,0.09796557854861021,-0.0006851647631265223,0.0043651333544403315,0.011634759890287172,0.2083333395421505,0.2319901886984304,0.0,0.6666666865348816
249,509952,2874.4269396422633,39,0.20833333861082792,0.2732266106235556,0.0,1.0,110.0,0.0,110.0,110.0,1.347669005393982,0.10629276931285858,-0.0071690179174765944,0.009732380043715239,0.02362311098283821,0.20833333861082792,0.2732266106235556,0.0,1.0
250,512000,2732.04931084406,39,0.0833333358168602,0.14433757159900115,0.0,0.3333333432674408,110.0,0.0,110.0,110.0,1.3668502569198608,0.08791888877749443,0.018243418307974935,0.0014704516797792166,0.009367356374114557,0.0833333358168602,0.14433757159900115,0.0,0.3333333432674408
251,514048,2652.500515527745,40,0.18750000558793545,0.2626983455981558,0.0,0.6666666865348816,110.0,0.0,110.0,110.0,1.3679919242858887,0.09085506666451693,-0.002452698434353806,0.0053053030569572,0.012638397749240313,0.18750000558793545,0.2626983455981558,0.0,0.6666666865348816
252,516096,2774.1171900659365,41,0.20833333767950535,0.2856522783676117,0.0,1.0,110.0,0.0,110.0,110.0,1.342265546321869,0.09572618175297976,-0.004598080500727519,0.006432250898797065,0.01564319819207584,0.20833333767950535,0.2856522783676117,0.0,1.0
253,518144,3179.1035422292903,42,0.2291666716337204,0.3054766356249029,0.0,1.0,110.0,0.0,110.0,110.0,1.3534259498119354,0.09992523677647114,-0.005612648295937106,0.00736610297462903,0.016338009072545026,0.2291666716337204,0.3054766356249029,0.0,1.0
